SplitRatio,LearningRate,Epochs,Accuracy
0.9,0.100,200,100.00
0.9,0.100,200,90.00
0.9,0.100,200,100.00
0.9,0.100,200,100.00
0.9,0.100,300,100.00
0.9,0.100,300,100.00
0.9,0.100,300,100.00
0.9,0.100,300,100.00
0.9,0.100,300,100.00
0.9,0.100,300,100.00
0.9,0.100,300,100.00
0.9,0.100,300,100.00
0.9,0.100,300,100.00
0.9,0.100,300,100.00
0.9,0.080,20,50.00
0.9,0.080,20,50.00
0.9,0.080,20,50.00
0.9,0.080,20,50.00
0.9,0.080,20,50.00
0.9,0.080,20,50.00
0.9,0.080,20,50.00
0.9,0.080,20,50.00
0.9,0.080,20,50.00
0.9,0.080,20,50.00
0.9,0.080,50,70.00
0.9,0.080,50,80.00
0.9,0.080,50,70.00
0.9,0.080,50,70.00
0.9,0.080,50,70.00
0.9,0.080,50,60.00
0.9,0.080,50,80.00
0.9,0.080,50,70.00
0.9,0.080,50,70.00
0.9,0.080,50,70.00
0.9,0.080,80,90.00
0.9,0.080,80,70.00
0.9,0.080,80,80.00
0.9,0.080,80,60.00
0.9,0.080,80,60.00
0.9,0.080,80,80.00
0.9,0.080,80,100.00
0.9,0.080,80,70.00
0.9,0.080,80,100.00
0.9,0.080,80,60.00
0.9,0.080,100,60.00
0.9,0.080,100,90.00
0.9,0.080,100,60.00
0.9,0.080,100,90.00
0.9,0.080,100,90.00
0.9,0.080,100,60.00
0.9,0.080,100,60.00
0.9,0.080,100,90.00
0.9,0.080,100,60.00
0.9,0.080,100,60.00
0.9,0.080,120,70.00
0.9,0.080,120,70.00
0.9,0.080,120,70.00
0.9,0.080,120,90.00
0.9,0.080,120,80.00
0.9,0.080,120,80.00
0.9,0.080,120,70.00
0.9,0.080,120,80.00
0.9,0.080,120,70.00
0.9,0.080,120,70.00
0.9,0.080,150,70.00
0.9,0.080,150,90.00
0.9,0.080,150,80.00
0.9,0.080,150,80.00
0.9,0.080,150,90.00
0.9,0.080,150,100.00
0.9,0.080,150,100.00
0.9,0.080,150,80.00
0.9,0.080,150,100.00
0.9,0.080,150,80.00
0.9,0.080,200,90.00
0.9,0.080,200,90.00
0.9,0.080,200,100.00
0.9,0.080,200,100.00
0.9,0.080,200,90.00
0.9,0.080,200,90.00
0.9,0.080,200,100.00
0.9,0.080,200,90.00
0.9,0.080,200,90.00
0.9,0.080,200,90.00
0.9,0.080,300,100.00
0.9,0.080,300,90.00
0.9,0.080,300,100.00
0.9,0.080,300,100.00
0.9,0.080,300,100.00
0.9,0.080,300,100.00
0.9,0.080,300,100.00
0.9,0.080,300,100.00
0.9,0.080,300,100.00
0.9,0.080,300,100.00
0.9,0.050,20,50.00
0.9,0.050,20,50.00
0.9,0.050,20,50.00
0.9,0.050,20,50.00
0.9,0.050,20,50.00
0.9,0.050,20,60.00
0.9,0.050,20,50.00
