Epoch,TrainingScenario,Accuracy
117,Versicolor vs Virginica,100.00
117,Multi-Class (All 3),100.00
118,Setosa vs Rest,100.00
118,Versicolor vs Rest,100.00
118,Virginica vs Rest,100.00
118,Setosa vs Versicolor,100.00
118,Setosa vs Virginica,100.00
118,Versicolor vs Virginica,100.00
118,Multi-Class (All 3),100.00
119,Setosa vs Rest,100.00
119,Versicolor vs Rest,100.00
119,Virginica vs Rest,100.00
119,Setosa vs Versicolor,100.00
119,Setosa vs Virginica,100.00
119,Versicolor vs Virginica,100.00
119,Multi-Class (All 3),100.00
120,Setosa vs Rest,100.00
120,Versicolor vs Rest,100.00
120,Virginica vs Rest,100.00
120,Setosa vs Versicolor,100.00
120,Setosa vs Virginica,100.00
120,Versicolor vs Virginica,100.00
120,Multi-Class (All 3),100.00
121,Setosa vs Rest,100.00
121,Versicolor vs Rest,100.00
121,Virginica vs Rest,100.00
121,Setosa vs Versicolor,100.00
121,Setosa vs Virginica,100.00
121,Versicolor vs Virginica,100.00
121,Multi-Class (All 3),100.00
122,Setosa vs Rest,100.00
122,Versicolor vs Rest,100.00
122,Virginica vs Rest,100.00
122,Setosa vs Versicolor,100.00
122,Setosa vs Virginica,100.00
122,Versicolor vs Virginica,100.00
122,Multi-Class (All 3),100.00
123,Setosa vs Rest,100.00
123,Versicolor vs Rest,100.00
123,Virginica vs Rest,100.00
123,Setosa vs Versicolor,100.00
123,Setosa vs Virginica,100.00
123,Versicolor vs Virginica,100.00
123,Multi-Class (All 3),100.00
124,Setosa vs Rest,100.00
124,Versicolor vs Rest,100.00
124,Virginica vs Rest,100.00
124,Setosa vs Versicolor,100.00
124,Setosa vs Virginica,100.00
124,Versicolor vs Virginica,100.00
124,Multi-Class (All 3),100.00
125,Setosa vs Rest,100.00
125,Versicolor vs Rest,100.00
125,Virginica vs Rest,100.00
125,Setosa vs Versicolor,100.00
125,Setosa vs Virginica,100.00
125,Versicolor vs Virginica,100.00
125,Multi-Class (All 3),100.00
126,Setosa vs Rest,100.00
126,Versicolor vs Rest,100.00
126,Virginica vs Rest,100.00
126,Setosa vs Versicolor,100.00
126,Setosa vs Virginica,100.00
126,Versicolor vs Virginica,100.00
126,Multi-Class (All 3),100.00
127,Setosa vs Rest,100.00
127,Versicolor vs Rest,100.00
127,Virginica vs Rest,100.00
127,Setosa vs Versicolor,100.00
127,Setosa vs Virginica,100.00
127,Versicolor vs Virginica,100.00
127,Multi-Class (All 3),100.00
128,Setosa vs Rest,100.00
128,Versicolor vs Rest,100.00
128,Virginica vs Rest,100.00
128,Setosa vs Versicolor,100.00
128,Setosa vs Virginica,100.00
128,Versicolor vs Virginica,100.00
128,Multi-Class (All 3),100.00
129,Setosa vs Rest,100.00
129,Versicolor vs Rest,100.00
129,Virginica vs Rest,100.00
129,Setosa vs Versicolor,100.00
129,Setosa vs Virginica,100.00
129,Versicolor vs Virginica,100.00
129,Multi-Class (All 3),100.00
130,Setosa vs Rest,100.00
130,Versicolor vs Rest,100.00
130,Virginica vs Rest,100.00
130,Setosa vs Versicolor,100.00
130,Setosa vs Virginica,100.00
130,Versicolor vs Virginica,100.00
130,Multi-Class (All 3),100.00
131,Setosa vs Rest,100.00
131,Versicolor vs Rest,100.00
131,Virginica vs Rest,100.00
131,Setosa vs Versicolor,100.00
131,Setosa vs Virginica,100.00
131,Versicolor vs Virginica,100.00
131,Multi-Class (All 3),100.00
132,Setosa vs Rest,100.00
132,Versicolor vs Rest,100.00
132,Virginica vs Rest,100.00
132,Setosa vs Versicolor,100.00
132,Setosa vs Virginica,100.00
132,Versicolor vs Virginica,100.00
132,Multi-Class (All 3),100.00
133,Setosa vs Rest,100.00
133,Versicolor vs Rest,100.00
133,Virginica vs Rest,100.00
133,Setosa vs Versicolor,100.00
133,Setosa vs Virginica,100.00
133,Versicolor vs Virginica,100.00
133,Multi-Class (All 3),100.00
134,Setosa vs Rest,100.00
134,Versicolor vs Rest,100.00
134,Virginica vs Rest,100.00
134,Setosa vs Versicolor,100.00
134,Setosa vs Virginica,100.00
134,Versicolor vs Virginica,100.00
134,Multi-Class (All 3),100.00
135,Setosa vs Rest,100.00
135,Versicolor vs Rest,100.00
135,Virginica vs Rest,100.00
135,Setosa vs Versicolor,100.00
135,Setosa vs Virginica,100.00
135,Versicolor vs Virginica,100.00
135,Multi-Class (All 3),100.00
136,Setosa vs Rest,100.00
136,Versicolor vs Rest,100.00
136,Virginica vs Rest,100.00
136,Setosa vs Versicolor,100.00
136,Setosa vs Virginica,100.00
136,Versicolor vs Virginica,100.00
136,Multi-Class (All 3),100.00
137,Setosa vs Rest,100.00
137,Versicolor vs Rest,100.00
137,Virginica vs Rest,100.00
137,Setosa vs Versicolor,100.00
137,Setosa vs Virginica,100.00
137,Versicolor vs Virginica,100.00
137,Multi-Class (All 3),100.00
138,Setosa vs Rest,100.00
138,Versicolor vs Rest,100.00
138,Virginica vs Rest,100.00
138,Setosa vs Versicolor,100.00
138,Setosa vs Virginica,100.00
138,Versicolor vs Virginica,100.00
138,Multi-Class (All 3),100.00
139,Setosa vs Rest,100.00
139,Versicolor vs Rest,100.00
139,Virginica vs Rest,100.00
139,Setosa vs Versicolor,100.00
139,Setosa vs Virginica,100.00
139,Versicolor vs Virginica,100.00
139,Multi-Class (All 3),100.00
140,Setosa vs Rest,100.00
140,Versicolor vs Rest,100.00
140,Virginica vs Rest,100.00
140,Setosa vs Versicolor,100.00
140,Setosa vs Virginica,100.00
140,Versicolor vs Virginica,100.00
140,Multi-Class (All 3),100.00
141,Setosa vs Rest,100.00
141,Versicolor vs Rest,100.00
141,Virginica vs Rest,100.00
141,Setosa vs Versicolor,100.00
141,Setosa vs Virginica,100.00
141,Versicolor vs Virginica,100.00
141,Multi-Class (All 3),100.00
142,Setosa vs Rest,100.00
142,Versicolor vs Rest,100.00
142,Virginica vs Rest,100.00
142,Setosa vs Versicolor,100.00
142,Setosa vs Virginica,100.00
142,Versicolor vs Virginica,100.00
142,Multi-Class (All 3),100.00
143,Setosa vs Rest,100.00
143,Versicolor vs Rest,100.00
143,Virginica vs Rest,100.00
143,Setosa vs Versicolor,100.00
143,Setosa vs Virginica,100.00
143,Versicolor vs Virginica,100.00
143,Multi-Class (All 3),100.00
144,Setosa vs Rest,100.00
144,Versicolor vs Rest,100.00
144,Virginica vs Rest,100.00
144,Setosa vs Versicolor,100.00
144,Setosa vs Virginica,100.00
144,Versicolor vs Virginica,100.00
144,Multi-Class (All 3),100.00
145,Setosa vs Rest,100.00
145,Versicolor vs Rest,100.00
145,Virginica vs Rest,100.00
145,Setosa vs Versicolor,100.00
145,Setosa vs Virginica,100.00
145,Versicolor vs Virginica,100.00
145,Multi-Class (All 3),100.00
146,Setosa vs Rest,100.00
146,Versicolor vs Rest,100.00
146,Virginica vs Rest,100.00
146,Setosa vs Versicolor,100.00
146,Setosa vs Virginica,100.00
146,Versicolor vs Virginica,100.00
146,Multi-Class (All 3),100.00
147,Setosa vs Rest,100.00
147,Versicolor vs Rest,100.00
147,Virginica vs Rest,100.00
147,Setosa vs Versicolor,100.00
147,Setosa vs Virginica,100.00
147,Versicolor vs Virginica,100.00
147,Multi-Class (All 3),100.00
148,Setosa vs Rest,100.00
148,Versicolor vs Rest,100.00
148,Virginica vs Rest,100.00
148,Setosa vs Versicolor,100.00
148,Setosa vs Virginica,100.00
148,Versicolor vs Virginica,100.00
148,Multi-Class (All 3),100.00
149,Setosa vs Rest,100.00
149,Versicolor vs Rest,100.00
149,Virginica vs Rest,100.00
149,Setosa vs Versicolor,100.00
149,Setosa vs Virginica,100.00
149,Versicolor vs Virginica,100.00
149,Multi-Class (All 3),100.00
150,Setosa vs Rest,100.00
150,Versicolor vs Rest,100.00
150,Virginica vs Rest,100.00
150,Setosa vs Versicolor,100.00
150,Setosa vs Virginica,100.00
150,Versicolor vs Virginica,100.00
150,Multi-Class (All 3),100.00
151,Setosa vs Rest,100.00
151,Versicolor vs Rest,100.00
151,Virginica vs Rest,100.00
151,Setosa vs Versicolor,100.00
151,Setosa vs Virginica,100.00
151,Versicolor vs Virginica,100.00
151,Multi-Class (All 3),100.00
152,Setosa vs Rest,100.00
152,Versicolor vs Rest,100.00
152,Virginica vs Rest,100.00
152,Setosa vs Versicolor,100.00
152,Setosa vs Virginica,100.00
152,Versicolor vs Virginica,100.00
152,Multi-Class (All 3),100.00
153,Setosa vs Rest,100.00
153,Versicolor vs Rest,100.00
153,Virginica vs Rest,100.00
153,Setosa vs Versicolor,100.00
153,Setosa vs Virginica,100.00
153,Versicolor vs Virginica,100.00
153,Multi-Class (All 3),100.00
154,Setosa vs Rest,100.00
154,Versicolor vs Rest,100.00
154,Virginica vs Rest,100.00
154,Setosa vs Versicolor,100.00
154,Setosa vs Virginica,100.00
154,Versicolor vs Virginica,100.00
154,Multi-Class (All 3),100.00
155,Setosa vs Rest,100.00
155,Versicolor vs Rest,100.00
155,Virginica vs Rest,100.00
155,Setosa vs Versicolor,100.00
155,Setosa vs Virginica,100.00
155,Versicolor vs Virginica,100.00
155,Multi-Class (All 3),100.00
156,Setosa vs Rest,100.00
156,Versicolor vs Rest,100.00
156,Virginica vs Rest,100.00
156,Setosa vs Versicolor,100.00
156,Setosa vs Virginica,100.00
156,Versicolor vs Virginica,100.00
156,Multi-Class (All 3),100.00
157,Setosa vs Rest,100.00
157,Versicolor vs Rest,100.00
157,Virginica vs Rest,100.00
157,Setosa vs Versicolor,100.00
157,Setosa vs Virginica,100.00
157,Versicolor vs Virginica,100.00
157,Multi-Class (All 3),100.00
158,Setosa vs Rest,100.00
158,Versicolor vs Rest,100.00
158,Virginica vs Rest,100.00
158,Setosa vs Versicolor,100.00
158,Setosa vs Virginica,100.00
158,Versicolor vs Virginica,100.00
158,Multi-Class (All 3),100.00
159,Setosa vs Rest,100.00
159,Versicolor vs Rest,100.00
159,Virginica vs Rest,100.00
159,Setosa vs Versicolor,100.00
159,Setosa vs Virginica,100.00
159,Versicolor vs Virginica,100.00
159,Multi-Class (All 3),100.00
160,Setosa vs Rest,100.00
160,Versicolor vs Rest,100.00
160,Virginica vs Rest,100.00
160,Setosa vs Versicolor,100.00
160,Setosa vs Virginica,100.00
160,Versicolor vs Virginica,100.00
160,Multi-Class (All 3),100.00
161,Setosa vs Rest,100.00
161,Versicolor vs Rest,100.00
161,Virginica vs Rest,100.00
161,Setosa vs Versicolor,100.00
161,Setosa vs Virginica,100.00
161,Versicolor vs Virginica,100.00
161,Multi-Class (All 3),100.00
162,Setosa vs Rest,100.00
162,Versicolor vs Rest,100.00
162,Virginica vs Rest,100.00
162,Setosa vs Versicolor,100.00
162,Setosa vs Virginica,100.00
162,Versicolor vs Virginica,100.00
162,Multi-Class (All 3),100.00
163,Setosa vs Rest,100.00
163,Versicolor vs Rest,100.00
163,Virginica vs Rest,100.00
163,Setosa vs Versicolor,100.00
163,Setosa vs Virginica,100.00
163,Versicolor vs Virginica,100.00
163,Multi-Class (All 3),100.00
164,Setosa vs Rest,100.00
164,Versicolor vs Rest,100.00
164,Virginica vs Rest,100.00
164,Setosa vs Versicolor,100.00
164,Setosa vs Virginica,100.00
164,Versicolor vs Virginica,100.00
164,Multi-Class (All 3),100.00
165,Setosa vs Rest,100.00
165,Versicolor vs Rest,100.00
165,Virginica vs Rest,100.00
165,Setosa vs Versicolor,100.00
165,Setosa vs Virginica,100.00
165,Versicolor vs Virginica,100.00
165,Multi-Class (All 3),100.00
166,Setosa vs Rest,100.00
166,Versicolor vs Rest,100.00
166,Virginica vs Rest,100.00
166,Setosa vs Versicolor,100.00
166,Setosa vs Virginica,100.00
166,Versicolor vs Virginica,100.00
166,Multi-Class (All 3),100.00
167,Setosa vs Rest,100.00
167,Versicolor vs Rest,100.00
167,Virginica vs Rest,100.00
167,Setosa vs Versicolor,100.00
167,Setosa vs Virginica,100.00
167,Versicolor vs Virginica,100.00
167,Multi-Class (All 3),100.00
168,Setosa vs Rest,100.00
168,Versicolor vs Rest,100.00
168,Virginica vs Rest,100.00
168,Setosa vs Versicolor,100.00
168,Setosa vs Virginica,100.00
168,Versicolor vs Virginica,100.00
168,Multi-Class (All 3),100.00
169,Setosa vs Rest,100.00
169,Versicolor vs Rest,100.00
169,Virginica vs Rest,100.00
169,Setosa vs Versicolor,100.00
169,Setosa vs Virginica,100.00
169,Versicolor vs Virginica,100.00
169,Multi-Class (All 3),100.00
170,Setosa vs Rest,100.00
170,Versicolor vs Rest,100.00
170,Virginica vs Rest,100.00
170,Setosa vs Versicolor,100.00
170,Setosa vs Virginica,100.00
170,Versicolor vs Virginica,100.00
170,Multi-Class (All 3),100.00
171,Setosa vs Rest,100.00
171,Versicolor vs Rest,100.00
171,Virginica vs Rest,100.00
171,Setosa vs Versicolor,100.00
171,Setosa vs Virginica,100.00
171,Versicolor vs Virginica,100.00
171,Multi-Class (All 3),100.00
172,Setosa vs Rest,100.00
172,Versicolor vs Rest,100.00
172,Virginica vs Rest,100.00
172,Setosa vs Versicolor,100.00
172,Setosa vs Virginica,100.00
172,Versicolor vs Virginica,100.00
172,Multi-Class (All 3),100.00
173,Setosa vs Rest,100.00
173,Versicolor vs Rest,100.00
173,Virginica vs Rest,100.00
173,Setosa vs Versicolor,100.00
173,Setosa vs Virginica,100.00
173,Versicolor vs Virginica,100.00
173,Multi-Class (All 3),100.00
174,Setosa vs Rest,100.00
174,Versicolor vs Rest,100.00
174,Virginica vs Rest,100.00
174,Setosa vs Versicolor,100.00
174,Setosa vs Virginica,100.00
174,Versicolor vs Virginica,100.00
174,Multi-Class (All 3),100.00
175,Setosa vs Rest,100.00
175,Versicolor vs Rest,100.00
175,Virginica vs Rest,100.00
175,Setosa vs Versicolor,100.00
175,Setosa vs Virginica,100.00
175,Versicolor vs Virginica,100.00
175,Multi-Class (All 3),100.00
176,Setosa vs Rest,100.00
176,Versicolor vs Rest,100.00
176,Virginica vs Rest,100.00
176,Setosa vs Versicolor,100.00
176,Setosa vs Virginica,100.00
176,Versicolor vs Virginica,100.00
176,Multi-Class (All 3),100.00
177,Setosa vs Rest,100.00
177,Versicolor vs Rest,100.00
177,Virginica vs Rest,100.00
177,Setosa vs Versicolor,100.00
177,Setosa vs Virginica,100.00
177,Versicolor vs Virginica,100.00
177,Multi-Class (All 3),100.00
178,Setosa vs Rest,100.00
178,Versicolor vs Rest,100.00
178,Virginica vs Rest,100.00
178,Setosa vs Versicolor,100.00
178,Setosa vs Virginica,100.00
178,Versicolor vs Virginica,100.00
178,Multi-Class (All 3),100.00
179,Setosa vs Rest,100.00
179,Versicolor vs Rest,100.00
179,Virginica vs Rest,100.00
179,Setosa vs Versicolor,100.00
179,Setosa vs Virginica,100.00
179,Versicolor vs Virginica,100.00
179,Multi-Class (All 3),100.00
180,Setosa vs Rest,100.00
180,Versicolor vs Rest,100.00
180,Virginica vs Rest,100.00
180,Setosa vs Versicolor,100.00
180,Setosa vs Virginica,100.00
180,Versicolor vs Virginica,100.00
180,Multi-Class (All 3),100.00
181,Setosa vs Rest,100.00
181,Versicolor vs Rest,100.00
181,Virginica vs Rest,100.00
181,Setosa vs Versicolor,100.00
181,Setosa vs Virginica,100.00
181,Versicolor vs Virginica,100.00
181,Multi-Class (All 3),100.00
182,Setosa vs Rest,100.00
182,Versicolor vs Rest,100.00
182,Virginica vs Rest,100.00
182,Setosa vs Versicolor,100.00
182,Setosa vs Virginica,100.00
182,Versicolor vs Virginica,100.00
182,Multi-Class (All 3),100.00
183,Setosa vs Rest,100.00
183,Versicolor vs Rest,100.00
183,Virginica vs Rest,100.00
183,Setosa vs Versicolor,100.00
183,Setosa vs Virginica,100.00
183,Versicolor vs Virginica,100.00
183,Multi-Class (All 3),100.00
184,Setosa vs Rest,100.00
184,Versicolor vs Rest,100.00
184,Virginica vs Rest,100.00
184,Setosa vs Versicolor,100.00
184,Setosa vs Virginica,100.00
184,Versicolor vs Virginica,100.00
184,Multi-Class (All 3),100.00
185,Setosa vs Rest,100.00
185,Versicolor vs Rest,100.00
185,Virginica vs Rest,100.00
185,Setosa vs Versicolor,100.00
185,Setosa vs Virginica,100.00
185,Versicolor vs Virginica,100.00
185,Multi-Class (All 3),100.00
186,Setosa vs Rest,100.00
186,Versicolor vs Rest,100.00
186,Virginica vs Rest,100.00
186,Setosa vs Versicolor,100.00
186,Setosa vs Virginica,100.00
186,Versicolor vs Virginica,100.00
186,Multi-Class (All 3),100.00
187,Setosa vs Rest,100.00
187,Versicolor vs Rest,100.00
187,Virginica vs Rest,100.00
187,Setosa vs Versicolor,100.00
187,Setosa vs Virginica,100.00
187,Versicolor vs Virginica,100.00
187,Multi-Class (All 3),100.00
188,Setosa vs Rest,100.00
188,Versicolor vs Rest,100.00
188,Virginica vs Rest,100.00
188,Setosa vs Versicolor,100.00
188,Setosa vs Virginica,100.00
188,Versicolor vs Virginica,100.00
188,Multi-Class (All 3),100.00
189,Setosa vs Rest,100.00
189,Versicolor vs Rest,100.00
189,Virginica vs Rest,100.00
189,Setosa vs Versicolor,100.00
189,Setosa vs Virginica,100.00
189,Versicolor vs Virginica,100.00
189,Multi-Class (All 3),100.00
190,Setosa vs Rest,100.00
190,Versicolor vs Rest,100.00
190,Virginica vs Rest,100.00
190,Setosa vs Versicolor,100.00
190,Setosa vs Virginica,100.00
190,Versicolor vs Virginica,100.00
190,Multi-Class (All 3),100.00
191,Setosa vs Rest,100.00
191,Versicolor vs Rest,100.00
191,Virginica vs Rest,100.00
191,Setosa vs Versicolor,100.00
191,Setosa vs Virginica,100.00
191,Versicolor vs Virginica,100.00
191,Multi-Class (All 3),100.00
192,Setosa vs Rest,100.00
192,Versicolor vs Rest,100.00
192,Virginica vs Rest,100.00
192,Setosa vs Versicolor,100.00
192,Setosa vs Virginica,100.00
192,Versicolor vs Virginica,100.00
192,Multi-Class (All 3),100.00
193,Setosa vs Rest,100.00
193,Versicolor vs Rest,100.00
193,Virginica vs Rest,100.00
193,Setosa vs Versicolor,100.00
193,Setosa vs Virginica,100.00
193,Versicolor vs Virginica,100.00
193,Multi-Class (All 3),100.00
194,Setosa vs Rest,100.00
194,Versicolor vs Rest,100.00
194,Virginica vs Rest,100.00
194,Setosa vs Versicolor,100.00
194,Setosa vs Virginica,100.00
194,Versicolor vs Virginica,100.00
194,Multi-Class (All 3),100.00
195,Setosa vs Rest,100.00
195,Versicolor vs Rest,100.00
195,Virginica vs Rest,100.00
195,Setosa vs Versicolor,100.00
195,Setosa vs Virginica,100.00
195,Versicolor vs Virginica,100.00
195,Multi-Class (All 3),100.00
196,Setosa vs Rest,100.00
196,Versicolor vs Rest,100.00
196,Virginica vs Rest,100.00
196,Setosa vs Versicolor,100.00
196,Setosa vs Virginica,100.00
196,Versicolor vs Virginica,100.00
196,Multi-Class (All 3),100.00
197,Setosa vs Rest,100.00
197,Versicolor vs Rest,100.00
197,Virginica vs Rest,100.00
197,Setosa vs Versicolor,100.00
197,Setosa vs Virginica,100.00
197,Versicolor vs Virginica,100.00
197,Multi-Class (All 3),100.00
198,Setosa vs Rest,100.00
198,Versicolor vs Rest,100.00
198,Virginica vs Rest,100.00
198,Setosa vs Versicolor,100.00
198,Setosa vs Virginica,100.00
198,Versicolor vs Virginica,100.00
198,Multi-Class (All 3),100.00
199,Setosa vs Rest,100.00
199,Versicolor vs Rest,100.00
199,Virginica vs Rest,100.00
199,Setosa vs Versicolor,100.00
199,Setosa vs Virginica,100.00
199,Versicolor vs Virginica,100.00
199,Multi-Class (All 3),100.00
200,Setosa vs Rest,100.00
200,Versicolor vs Rest,100.00
200,Virginica vs Rest,100.00
200,Setosa vs Versicolor,100.00
200,Setosa vs Virginica,100.00
200,Versicolor vs Virginica,100.00
200,Multi-Class (All 3),100.00
201,Setosa vs Rest,100.00
201,Versicolor vs Rest,100.00
201,Virginica vs Rest,100.00
201,Setosa vs Versicolor,100.00
201,Setosa vs Virginica,100.00
201,Versicolor vs Virginica,100.00
201,Multi-Class (All 3),100.00
202,Setosa vs Rest,100.00
202,Versicolor vs Rest,100.00
202,Virginica vs Rest,100.00
202,Setosa vs Versicolor,100.00
202,Setosa vs Virginica,100.00
202,Versicolor vs Virginica,100.00
202,Multi-Class (All 3),100.00
203,Setosa vs Rest,100.00
203,Versicolor vs Rest,100.00
203,Virginica vs Rest,100.00
203,Setosa vs Versicolor,100.00
203,Setosa vs Virginica,100.00
203,Versicolor vs Virginica,100.00
203,Multi-Class (All 3),100.00
204,Setosa vs Rest,100.00
204,Versicolor vs Rest,100.00
204,Virginica vs Rest,100.00
204,Setosa vs Versicolor,100.00
204,Setosa vs Virginica,100.00
204,Versicolor vs Virginica,100.00
204,Multi-Class (All 3),100.00
205,Setosa vs Rest,100.00
205,Versicolor vs Rest,100.00
205,Virginica vs Rest,100.00
205,Setosa vs Versicolor,100.00
205,Setosa vs Virginica,100.00
205,Versicolor vs Virginica,100.00
205,Multi-Class (All 3),100.00
206,Setosa vs Rest,100.00
206,Versicolor vs Rest,100.00
206,Virginica vs Rest,100.00
206,Setosa vs Versicolor,100.00
206,Setosa vs Virginica,100.00
206,Versicolor vs Virginica,100.00
206,Multi-Class (All 3),100.00
207,Setosa vs Rest,100.00
207,Versicolor vs Rest,100.00
207,Virginica vs Rest,100.00
207,Setosa vs Versicolor,100.00
207,Setosa vs Virginica,100.00
207,Versicolor vs Virginica,100.00
207,Multi-Class (All 3),100.00
208,Setosa vs Rest,100.00
208,Versicolor vs Rest,100.00
208,Virginica vs Rest,100.00
208,Setosa vs Versicolor,100.00
208,Setosa vs Virginica,100.00
208,Versicolor vs Virginica,100.00
208,Multi-Class (All 3),100.00
209,Setosa vs Rest,100.00
209,Versicolor vs Rest,100.00
209,Virginica vs Rest,100.00
209,Setosa vs Versicolor,100.00
209,Setosa vs Virginica,100.00
209,Versicolor vs Virginica,100.00
209,Multi-Class (All 3),100.00
210,Setosa vs Rest,100.00
210,Versicolor vs Rest,100.00
210,Virginica vs Rest,100.00
210,Setosa vs Versicolor,100.00
210,Setosa vs Virginica,100.00
210,Versicolor vs Virginica,100.00
210,Multi-Class (All 3),100.00
211,Setosa vs Rest,100.00
211,Versicolor vs Rest,100.00
211,Virginica vs Rest,100.00
211,Setosa vs Versicolor,100.00
211,Setosa vs Virginica,100.00
211,Versicolor vs Virginica,100.00
211,Multi-Class (All 3),100.00
212,Setosa vs Rest,100.00
212,Versicolor vs Rest,100.00
212,Virginica vs Rest,100.00
212,Setosa vs Versicolor,100.00
212,Setosa vs Virginica,100.00
212,Versicolor vs Virginica,100.00
212,Multi-Class (All 3),100.00
213,Setosa vs Rest,100.00
213,Versicolor vs Rest,100.00
213,Virginica vs Rest,100.00
213,Setosa vs Versicolor,100.00
213,Setosa vs Virginica,100.00
213,Versicolor vs Virginica,100.00
213,Multi-Class (All 3),100.00
214,Setosa vs Rest,100.00
214,Versicolor vs Rest,100.00
214,Virginica vs Rest,100.00
214,Setosa vs Versicolor,100.00
214,Setosa vs Virginica,100.00
214,Versicolor vs Virginica,100.00
214,Multi-Class (All 3),100.00
215,Setosa vs Rest,100.00
215,Versicolor vs Rest,100.00
215,Virginica vs Rest,100.00
215,Setosa vs Versicolor,100.00
215,Setosa vs Virginica,100.00
215,Versicolor vs Virginica,100.00
215,Multi-Class (All 3),100.00
216,Setosa vs Rest,100.00
216,Versicolor vs Rest,100.00
216,Virginica vs Rest,100.00
216,Setosa vs Versicolor,100.00
216,Setosa vs Virginica,100.00
216,Versicolor vs Virginica,100.00
216,Multi-Class (All 3),100.00
217,Setosa vs Rest,100.00
217,Versicolor vs Rest,100.00
217,Virginica vs Rest,100.00
217,Setosa vs Versicolor,100.00
217,Setosa vs Virginica,100.00
217,Versicolor vs Virginica,100.00
217,Multi-Class (All 3),100.00
218,Setosa vs Rest,100.00
218,Versicolor vs Rest,100.00
218,Virginica vs Rest,100.00
218,Setosa vs Versicolor,100.00
218,Setosa vs Virginica,100.00
218,Versicolor vs Virginica,100.00
218,Multi-Class (All 3),100.00
219,Setosa vs Rest,100.00
219,Versicolor vs Rest,100.00
219,Virginica vs Rest,100.00
219,Setosa vs Versicolor,100.00
219,Setosa vs Virginica,100.00
219,Versicolor vs Virginica,100.00
219,Multi-Class (All 3),100.00
220,Setosa vs Rest,100.00
220,Versicolor vs Rest,100.00
220,Virginica vs Rest,100.00
220,Setosa vs Versicolor,100.00
220,Setosa vs Virginica,100.00
220,Versicolor vs Virginica,100.00
220,Multi-Class (All 3),100.00
221,Setosa vs Rest,100.00
221,Versicolor vs Rest,100.00
221,Virginica vs Rest,100.00
221,Setosa vs Versicolor,100.00
221,Setosa vs Virginica,100.00
221,Versicolor vs Virginica,100.00
221,Multi-Class (All 3),100.00
222,Setosa vs Rest,100.00
222,Versicolor vs Rest,100.00
222,Virginica vs Rest,100.00
222,Setosa vs Versicolor,100.00
222,Setosa vs Virginica,100.00
222,Versicolor vs Virginica,100.00
222,Multi-Class (All 3),100.00
223,Setosa vs Rest,100.00
223,Versicolor vs Rest,100.00
223,Virginica vs Rest,100.00
223,Setosa vs Versicolor,100.00
223,Setosa vs Virginica,100.00
223,Versicolor vs Virginica,100.00
223,Multi-Class (All 3),100.00
224,Setosa vs Rest,100.00
224,Versicolor vs Rest,100.00
224,Virginica vs Rest,100.00
224,Setosa vs Versicolor,100.00
224,Setosa vs Virginica,100.00
224,Versicolor vs Virginica,100.00
224,Multi-Class (All 3),100.00
225,Setosa vs Rest,100.00
225,Versicolor vs Rest,100.00
225,Virginica vs Rest,100.00
225,Setosa vs Versicolor,100.00
225,Setosa vs Virginica,100.00
225,Versicolor vs Virginica,100.00
225,Multi-Class (All 3),100.00
226,Setosa vs Rest,100.00
226,Versicolor vs Rest,100.00
226,Virginica vs Rest,100.00
226,Setosa vs Versicolor,100.00
226,Setosa vs Virginica,100.00
226,Versicolor vs Virginica,100.00
226,Multi-Class (All 3),100.00
227,Setosa vs Rest,100.00
227,Versicolor vs Rest,100.00
227,Virginica vs Rest,100.00
227,Setosa vs Versicolor,100.00
227,Setosa vs Virginica,100.00
227,Versicolor vs Virginica,100.00
227,Multi-Class (All 3),100.00
228,Setosa vs Rest,100.00
228,Versicolor vs Rest,100.00
228,Virginica vs Rest,100.00
228,Setosa vs Versicolor,100.00
228,Setosa vs Virginica,100.00
228,Versicolor vs Virginica,100.00
228,Multi-Class (All 3),100.00
229,Setosa vs Rest,100.00
229,Versicolor vs Rest,100.00
229,Virginica vs Rest,100.00
229,Setosa vs Versicolor,100.00
229,Setosa vs Virginica,100.00
229,Versicolor vs Virginica,100.00
229,Multi-Class (All 3),100.00
230,Setosa vs Rest,100.00
230,Versicolor vs Rest,100.00
230,Virginica vs Rest,100.00
230,Setosa vs Versicolor,100.00
230,Setosa vs Virginica,100.00
230,Versicolor vs Virginica,100.00
230,Multi-Class (All 3),100.00
231,Setosa vs Rest,100.00
231,Versicolor vs Rest,100.00
231,Virginica vs Rest,100.00
231,Setosa vs Versicolor,100.00
231,Setosa vs Virginica,100.00
231,Versicolor vs Virginica,100.00
231,Multi-Class (All 3),100.00
232,Setosa vs Rest,100.00
232,Versicolor vs Rest,100.00
232,Virginica vs Rest,100.00
232,Setosa vs Versicolor,100.00
232,Setosa vs Virginica,100.00
232,Versicolor vs Virginica,100.00
232,Multi-Class (All 3),100.00
233,Setosa vs Rest,100.00
233,Versicolor vs Rest,100.00
233,Virginica vs Rest,100.00
233,Setosa vs Versicolor,100.00
233,Setosa vs Virginica,100.00
233,Versicolor vs Virginica,100.00
233,Multi-Class (All 3),100.00
234,Setosa vs Rest,100.00
234,Versicolor vs Rest,100.00
234,Virginica vs Rest,100.00
234,Setosa vs Versicolor,100.00
234,Setosa vs Virginica,100.00
234,Versicolor vs Virginica,100.00
234,Multi-Class (All 3),100.00
235,Setosa vs Rest,100.00
