Epoch,TrainingScenario,Accuracy
27,Versicolor vs Virginica,100.00
27,Multi-Class (All 3),100.00
28,Setosa vs Rest,100.00
28,Versicolor vs Rest,0.00
28,Virginica vs Rest,100.00
28,Setosa vs Versicolor,100.00
28,Setosa vs Virginica,100.00
28,Versicolor vs Virginica,100.00
28,Multi-Class (All 3),100.00
29,Setosa vs Rest,100.00
29,Versicolor vs Rest,0.00
29,Virginica vs Rest,100.00
29,Setosa vs Versicolor,100.00
29,Setosa vs Virginica,100.00
29,Versicolor vs Virginica,100.00
29,Multi-Class (All 3),100.00
30,Setosa vs Rest,100.00
30,Versicolor vs Rest,0.00
30,Virginica vs Rest,100.00
30,Setosa vs Versicolor,100.00
30,Setosa vs Virginica,100.00
30,Versicolor vs Virginica,100.00
30,Multi-Class (All 3),100.00
31,Setosa vs Rest,100.00
31,Versicolor vs Rest,0.00
31,Virginica vs Rest,100.00
31,Setosa vs Versicolor,100.00
31,Setosa vs Virginica,100.00
31,Versicolor vs Virginica,100.00
31,Multi-Class (All 3),100.00
32,Setosa vs Rest,100.00
32,Versicolor vs Rest,0.00
32,Virginica vs Rest,100.00
32,Setosa vs Versicolor,100.00
32,Setosa vs Virginica,100.00
32,Versicolor vs Virginica,100.00
32,Multi-Class (All 3),100.00
33,Setosa vs Rest,100.00
33,Versicolor vs Rest,0.00
33,Virginica vs Rest,100.00
33,Setosa vs Versicolor,100.00
33,Setosa vs Virginica,100.00
33,Versicolor vs Virginica,100.00
33,Multi-Class (All 3),100.00
34,Setosa vs Rest,100.00
34,Versicolor vs Rest,0.00
34,Virginica vs Rest,100.00
34,Setosa vs Versicolor,100.00
34,Setosa vs Virginica,100.00
34,Versicolor vs Virginica,100.00
34,Multi-Class (All 3),100.00
35,Setosa vs Rest,100.00
35,Versicolor vs Rest,0.00
35,Virginica vs Rest,100.00
35,Setosa vs Versicolor,100.00
35,Setosa vs Virginica,100.00
35,Versicolor vs Virginica,100.00
35,Multi-Class (All 3),100.00
36,Setosa vs Rest,100.00
36,Versicolor vs Rest,0.00
36,Virginica vs Rest,100.00
36,Setosa vs Versicolor,100.00
36,Setosa vs Virginica,100.00
36,Versicolor vs Virginica,100.00
36,Multi-Class (All 3),100.00
37,Setosa vs Rest,100.00
37,Versicolor vs Rest,0.00
37,Virginica vs Rest,100.00
37,Setosa vs Versicolor,100.00
37,Setosa vs Virginica,100.00
37,Versicolor vs Virginica,100.00
37,Multi-Class (All 3),100.00
38,Setosa vs Rest,100.00
38,Versicolor vs Rest,0.00
38,Virginica vs Rest,100.00
38,Setosa vs Versicolor,100.00
38,Setosa vs Virginica,100.00
38,Versicolor vs Virginica,100.00
38,Multi-Class (All 3),100.00
39,Setosa vs Rest,100.00
39,Versicolor vs Rest,0.00
39,Virginica vs Rest,100.00
39,Setosa vs Versicolor,100.00
39,Setosa vs Virginica,100.00
39,Versicolor vs Virginica,100.00
39,Multi-Class (All 3),100.00
40,Setosa vs Rest,100.00
40,Versicolor vs Rest,0.00
40,Virginica vs Rest,100.00
40,Setosa vs Versicolor,100.00
40,Setosa vs Virginica,100.00
40,Versicolor vs Virginica,100.00
40,Multi-Class (All 3),100.00
41,Setosa vs Rest,100.00
41,Versicolor vs Rest,0.00
41,Virginica vs Rest,100.00
41,Setosa vs Versicolor,100.00
41,Setosa vs Virginica,100.00
41,Versicolor vs Virginica,100.00
41,Multi-Class (All 3),100.00
42,Setosa vs Rest,100.00
42,Versicolor vs Rest,0.00
42,Virginica vs Rest,100.00
42,Setosa vs Versicolor,100.00
42,Setosa vs Virginica,100.00
42,Versicolor vs Virginica,100.00
42,Multi-Class (All 3),100.00
43,Setosa vs Rest,100.00
43,Versicolor vs Rest,0.00
43,Virginica vs Rest,100.00
43,Setosa vs Versicolor,100.00
43,Setosa vs Virginica,100.00
43,Versicolor vs Virginica,100.00
43,Multi-Class (All 3),100.00
44,Setosa vs Rest,100.00
44,Versicolor vs Rest,0.00
44,Virginica vs Rest,100.00
44,Setosa vs Versicolor,100.00
44,Setosa vs Virginica,100.00
44,Versicolor vs Virginica,100.00
44,Multi-Class (All 3),100.00
45,Setosa vs Rest,100.00
45,Versicolor vs Rest,0.00
45,Virginica vs Rest,100.00
45,Setosa vs Versicolor,100.00
45,Setosa vs Virginica,100.00
45,Versicolor vs Virginica,100.00
45,Multi-Class (All 3),100.00
46,Setosa vs Rest,100.00
46,Versicolor vs Rest,0.00
46,Virginica vs Rest,100.00
46,Setosa vs Versicolor,100.00
46,Setosa vs Virginica,100.00
46,Versicolor vs Virginica,100.00
46,Multi-Class (All 3),100.00
47,Setosa vs Rest,100.00
47,Versicolor vs Rest,0.00
47,Virginica vs Rest,100.00
47,Setosa vs Versicolor,100.00
47,Setosa vs Virginica,100.00
47,Versicolor vs Virginica,100.00
47,Multi-Class (All 3),100.00
48,Setosa vs Rest,100.00
48,Versicolor vs Rest,0.00
48,Virginica vs Rest,100.00
48,Setosa vs Versicolor,100.00
48,Setosa vs Virginica,100.00
48,Versicolor vs Virginica,100.00
48,Multi-Class (All 3),100.00
49,Setosa vs Rest,100.00
49,Versicolor vs Rest,0.00
49,Virginica vs Rest,100.00
49,Setosa vs Versicolor,100.00
49,Setosa vs Virginica,100.00
49,Versicolor vs Virginica,100.00
49,Multi-Class (All 3),100.00
50,Setosa vs Rest,100.00
50,Versicolor vs Rest,0.00
50,Virginica vs Rest,100.00
50,Setosa vs Versicolor,100.00
50,Setosa vs Virginica,100.00
50,Versicolor vs Virginica,100.00
50,Multi-Class (All 3),100.00
51,Setosa vs Rest,100.00
51,Versicolor vs Rest,0.00
51,Virginica vs Rest,100.00
51,Setosa vs Versicolor,100.00
51,Setosa vs Virginica,100.00
51,Versicolor vs Virginica,100.00
51,Multi-Class (All 3),100.00
52,Setosa vs Rest,100.00
52,Versicolor vs Rest,0.00
52,Virginica vs Rest,100.00
52,Setosa vs Versicolor,100.00
52,Setosa vs Virginica,100.00
52,Versicolor vs Virginica,100.00
52,Multi-Class (All 3),100.00
53,Setosa vs Rest,100.00
53,Versicolor vs Rest,0.00
53,Virginica vs Rest,100.00
53,Setosa vs Versicolor,100.00
53,Setosa vs Virginica,100.00
53,Versicolor vs Virginica,100.00
53,Multi-Class (All 3),100.00
54,Setosa vs Rest,100.00
54,Versicolor vs Rest,0.00
54,Virginica vs Rest,100.00
54,Setosa vs Versicolor,100.00
54,Setosa vs Virginica,100.00
54,Versicolor vs Virginica,100.00
54,Multi-Class (All 3),100.00
55,Setosa vs Rest,100.00
55,Versicolor vs Rest,0.00
55,Virginica vs Rest,100.00
55,Setosa vs Versicolor,100.00
55,Setosa vs Virginica,100.00
55,Versicolor vs Virginica,100.00
55,Multi-Class (All 3),100.00
56,Setosa vs Rest,100.00
56,Versicolor vs Rest,0.00
56,Virginica vs Rest,100.00
56,Setosa vs Versicolor,100.00
56,Setosa vs Virginica,100.00
56,Versicolor vs Virginica,100.00
56,Multi-Class (All 3),100.00
57,Setosa vs Rest,100.00
57,Versicolor vs Rest,0.00
57,Virginica vs Rest,100.00
57,Setosa vs Versicolor,100.00
57,Setosa vs Virginica,100.00
57,Versicolor vs Virginica,100.00
57,Multi-Class (All 3),100.00
58,Setosa vs Rest,100.00
58,Versicolor vs Rest,0.00
58,Virginica vs Rest,100.00
58,Setosa vs Versicolor,100.00
58,Setosa vs Virginica,100.00
58,Versicolor vs Virginica,100.00
58,Multi-Class (All 3),100.00
59,Setosa vs Rest,100.00
59,Versicolor vs Rest,0.00
59,Virginica vs Rest,100.00
59,Setosa vs Versicolor,100.00
59,Setosa vs Virginica,100.00
59,Versicolor vs Virginica,100.00
59,Multi-Class (All 3),100.00
60,Setosa vs Rest,100.00
60,Versicolor vs Rest,0.00
60,Virginica vs Rest,100.00
60,Setosa vs Versicolor,100.00
60,Setosa vs Virginica,100.00
60,Versicolor vs Virginica,100.00
60,Multi-Class (All 3),100.00
61,Setosa vs Rest,100.00
61,Versicolor vs Rest,0.00
61,Virginica vs Rest,100.00
61,Setosa vs Versicolor,100.00
61,Setosa vs Virginica,100.00
61,Versicolor vs Virginica,100.00
61,Multi-Class (All 3),100.00
62,Setosa vs Rest,100.00
62,Versicolor vs Rest,0.00
62,Virginica vs Rest,100.00
62,Setosa vs Versicolor,100.00
62,Setosa vs Virginica,100.00
62,Versicolor vs Virginica,100.00
62,Multi-Class (All 3),100.00
63,Setosa vs Rest,100.00
63,Versicolor vs Rest,0.00
63,Virginica vs Rest,100.00
63,Setosa vs Versicolor,100.00
63,Setosa vs Virginica,100.00
63,Versicolor vs Virginica,100.00
63,Multi-Class (All 3),100.00
64,Setosa vs Rest,100.00
64,Versicolor vs Rest,0.00
64,Virginica vs Rest,100.00
64,Setosa vs Versicolor,100.00
64,Setosa vs Virginica,100.00
64,Versicolor vs Virginica,100.00
64,Multi-Class (All 3),100.00
65,Setosa vs Rest,100.00
65,Versicolor vs Rest,0.00
